,job_title,company,location,salary,summary,url,easily_apply?
0,Program Manager,The Gill Corporation,Los Angeles,"$105,000 - $150,000 a year","Possess strong working knowledge of contracts, engineering design standards, FAA certification, quality systems for manufacturing and program management.","https://www.indeed.com/jobs?q=Program+Manager$100,000&l=Los+Angeles&jt=fulltime&explvl=mid_level&start=0/pagead/clk?mo=r&ad=-6NYlbfkN0DQuE_aJ3K-kmdFrrEiCjyHShWhb6o8CcunWmdX86hrxm733G8kcVEdJJ54LG7hbVpEhQbOHFfCjgj6gAl87ZxokGmL8HEq2IXtTUstzN1oxAbym24Bewqb89XHt2Q9kynpXh897mx7fWuKTra-m8UT0uUrJ5V_y4s1zqFnBhXRB52-tRnYZopDUtRjL28TLanc5BRx92K4hx6bIupiXmXJ4H0d8eWulHPRh5hkjId81oK65NySt5IWUZJM8nfeaGKws1WIZT_PUQOr9KKn2Q3qgCLZBjXGd5LSrC1CxgfkxmEwzHWxjpOEVEFWE2efBMJajvo4eoVZZe4p7eJljcgktrowf3GvoJZEBmFYdsXUfbaJASOXEt2ACUN0pU2qfvsbwZxE5xtCO6T0np-9uDQTY9QMEoLhrOt0RxPDzHLtDDMppMuS_DcVuCITxViYx7kQW9zfblrkHAJPV1F7G17l&p=0&fvj=1&vjs=3",True
123,"Digital Operations Manager , Level III",WhiteMoon Dreams,Los Angeles,N/A,"Education: Bachelor's Degree or higher.
The Digital Operations Project Manager (Level III) will work with the team to manage, plan and implement the company…","https://www.indeed.com/jobs?q=Operations+Manager$100,000&l=Los+Angeles&jt=fulltime&explvl=mid_level&start=80/rc/clk?jk=b82088d02ec4983b&fccid=dfe4d9efef838b00&vjs=3",True
98,Commercial Agency Operations Manager,"Godfrey Personnel, Inc.",Los Angeles,"$100,000 - $150,000 a year","Manage team's day-to-day operations.
Mid-sized Independent Insurance Agency is in search of a Commercial Lines Agency Operations Manager for their Wilmington,…","https://www.indeed.com/jobs?q=Operations+Manager$100,000&l=Los+Angeles&jt=fulltime&explvl=mid_level&start=70/pagead/clk?mo=r&ad=-6NYlbfkN0DXCMSNFMRlaZ2SRE_AJ1fOhJ84JAgwYIW-sdq9K5H5cid3NCh6DaHXF0T4qZnC3LSHRi73UIH4cLfL1MuBjp4VdKhP_8OMI3KQt0gBN9zZ8Oi57-QOQO0EuvfXGLuxJNHiwtSVnXcs0a91Yfzy5Q3L1_MeceDpOcgMiZcQWHX67gjuy2wy6-e5ou5o4koG7ipHvOP6KEUJW3PaDpcIJIEzUQ4-LxD_8InVuvtMu2Pj4bJ30TA7XinxhS1FpI52HYCRd5W0EzvvBehVQpWO45FaVCXm7hHcOiD7PtMrMq9_yHpxj0_dl3GbTIpovlBrbK95xPHnlU-RAhSKfDNoMzVxT17i0hOokV7duynrmj-QErwL9mdouUb6Y2-y8RI5OQyv5qA6O5MVezMfYwBvY4nGA04vGB5JE8MTpCZfIksAXxcpkB5Pbk5s4MpMrpxXET7Mr0S_7zBX0Wu8YqRGoFwOrbJnmbVQN87xU5KGNn-udVA3CkK5cS73&p=0&fvj=1&vjs=3",True
99,Sales Operations Manager,Ecosense Lighting,Los Angeles,N/A,"We are looking for a Sales Operations Manager to join our team.
The Sales Operations Manager will be responsible for compiling and analyzing sales and market…","https://www.indeed.com/jobs?q=Operations+Manager$100,000&l=Los+Angeles&jt=fulltime&explvl=mid_level&start=70/rc/clk?jk=9243a8b0fc5a3496&fccid=a93d6b21d8d01af9&vjs=3",True
101,Clinical Operations Manager,Arrowhead Pharmaceuticals,Los Angeles,N/A,"Broad understanding of clinical operations related to clinical development functions.
Participate in clinical operations initiatives and meetings as assigned…","https://www.indeed.com/jobs?q=Operations+Manager$100,000&l=Los+Angeles&jt=fulltime&explvl=mid_level&start=70/rc/clk?jk=0b838f7f4ab352c9&fccid=05aa1a43d8806cef&vjs=3",True
103,Marketing Operations & Automation Manager,Paper,Los Angeles,N/A,"5 years experience in marketing automation and/or operations.
Responsible for driving operational excellence and directly contributing to overall growth by…","https://www.indeed.com/jobs?q=Operations+Manager$100,000&l=Los+Angeles&jt=fulltime&explvl=mid_level&start=70/rc/clk?jk=15b97078402a022e&fccid=8ec730d70d62d0f1&vjs=3",True
104,Laboratory Operations Manager,Food Safety Net Services,Los Angeles,N/A,"Participate in generating and interpreting operations budgets and various operational reports, as needed.
Standard of operations for all testing performed by…","https://www.indeed.com/jobs?q=Operations+Manager$100,000&l=Los+Angeles&jt=fulltime&explvl=mid_level&start=70/rc/clk?jk=1f39efcbd8c454e6&fccid=3d16940c93e9ce64&vjs=3",True
108,"VP, Network Operations",Vubiquity Inc,Los Angeles,N/A,"Exceptional leader, people manager and customer advocate with a passion for technical support.
Available and adaptable to work various shifts in a 24x7x365…","https://www.indeed.com/jobs?q=Operations+Manager$100,000&l=Los+Angeles&jt=fulltime&explvl=mid_level&start=70/rc/clk?jk=dd6100ea55a3a492&fccid=3b02822fa5969cb3&vjs=3",True
109,"Digital Operations Manager , Level III",WhiteMoon Dreams,Los Angeles,N/A,"Education: Bachelor's Degree or higher.
The Digital Operations Project Manager (Level III) will work with the team to manage, plan and implement the company…","https://www.indeed.com/jobs?q=Operations+Manager$100,000&l=Los+Angeles&jt=fulltime&explvl=mid_level&start=70/rc/clk?jk=b82088d02ec4983b&fccid=dfe4d9efef838b00&vjs=3",True
111,Director of Operations and Risk Management,SkyOne Federal Credit Union,Los Angeles,N/A,"This person will lead compliance, fraud, and operations functions, and will be responsible for the development and execution of a robust and effective…","https://www.indeed.com/jobs?q=Operations+Manager$100,000&l=Los+Angeles&jt=fulltime&explvl=mid_level&start=70/rc/clk?jk=b3bfc074b43d53da&fccid=1b6f572bcc3b982c&vjs=3",True
112,Commercial Agency Operations Manager,"Godfrey Personnel, Inc.",Los Angeles,"$100,000 - $150,000 a year","Manage team's day-to-day operations.
Mid-sized Independent Insurance Agency is in search of a Commercial Lines Agency Operations Manager for their Wilmington,…","https://www.indeed.com/jobs?q=Operations+Manager$100,000&l=Los+Angeles&jt=fulltime&explvl=mid_level&start=80/pagead/clk?mo=r&ad=-6NYlbfkN0DXCMSNFMRlaZ2SRE_AJ1fOhJ84JAgwYIW-sdq9K5H5cid3NCh6DaHXF0T4qZnC3LSHRi73UIH4cLfL1MuBjp4VdKhP_8OMI3KQt0gBN9zZ8Oi57-QOQO0EuvfXGLuxJNHiwtSVnXcs0a91Yfzy5Q3L1_MeceDpOcgMiZcQWHX67gjuy2wy6-e5JzKUOFqEb7qBxMW005W4f3hAIuouH6Bs8NTPqHQVh4ZEUPOVoJm8KQ9PlvYmvGHYaik1gTlCfMWjn8oZJ3OBydXyVAtKQiAcLJiSsKQBIXnvFYIYrNbs9e4aumtEww3W6vOwW5ZDO_WyHC96Qs1luLjIxTKCMm3gfGJdZvGkMRAV9HuodRxcXQhNkuKTIJCV0ldJMuklEfMPcTEqcjM-oGYvP3IPmZZ_oCOZ-JaHLDabNRl1EJmBq6Tpw-0ZcXAMf_5Nsr7Y24uMqk7qVg6QfOXONescDiAZIb8M4QdO8wClTnBRhq-NPZF8bF2jRiWx&p=0&fvj=1&vjs=3",True
113,Sales Operations Manager,Ecosense Lighting,Los Angeles,N/A,"We are looking for a Sales Operations Manager to join our team.
The Sales Operations Manager will be responsible for compiling and analyzing sales and market…","https://www.indeed.com/jobs?q=Operations+Manager$100,000&l=Los+Angeles&jt=fulltime&explvl=mid_level&start=80/rc/clk?jk=9243a8b0fc5a3496&fccid=a93d6b21d8d01af9&vjs=3",True
115,Clinical Operations Manager,Arrowhead Pharmaceuticals,Los Angeles,N/A,"Broad understanding of clinical operations related to clinical development functions.
Participate in clinical operations initiatives and meetings as assigned…","https://www.indeed.com/jobs?q=Operations+Manager$100,000&l=Los+Angeles&jt=fulltime&explvl=mid_level&start=80/rc/clk?jk=0b838f7f4ab352c9&fccid=05aa1a43d8806cef&vjs=3",True
117,Marketing Operations & Automation Manager,Paper,Los Angeles,N/A,"5 years experience in marketing automation and/or operations.
Responsible for driving operational excellence and directly contributing to overall growth by…","https://www.indeed.com/jobs?q=Operations+Manager$100,000&l=Los+Angeles&jt=fulltime&explvl=mid_level&start=80/rc/clk?jk=15b97078402a022e&fccid=8ec730d70d62d0f1&vjs=3",True
118,Laboratory Operations Manager,Food Safety Net Services,Los Angeles,N/A,"Participate in generating and interpreting operations budgets and various operational reports, as needed.
Standard of operations for all testing performed by…","https://www.indeed.com/jobs?q=Operations+Manager$100,000&l=Los+Angeles&jt=fulltime&explvl=mid_level&start=80/rc/clk?jk=1f39efcbd8c454e6&fccid=3d16940c93e9ce64&vjs=3",True
122,"VP, Network Operations",Vubiquity Inc,Los Angeles,N/A,"Exceptional leader, people manager and customer advocate with a passion for technical support.
Available and adaptable to work various shifts in a 24x7x365…","https://www.indeed.com/jobs?q=Operations+Manager$100,000&l=Los+Angeles&jt=fulltime&explvl=mid_level&start=80/rc/clk?jk=dd6100ea55a3a492&fccid=3b02822fa5969cb3&vjs=3",True
125,Director of Operations and Risk Management,SkyOne Federal Credit Union,Los Angeles,N/A,"This person will lead compliance, fraud, and operations functions, and will be responsible for the development and execution of a robust and effective…","https://www.indeed.com/jobs?q=Operations+Manager$100,000&l=Los+Angeles&jt=fulltime&explvl=mid_level&start=80/rc/clk?jk=b3bfc074b43d53da&fccid=1b6f572bcc3b982c&vjs=3",True
28,Clinical Operations Manager,Arrowhead Pharmaceuticals,Los Angeles,N/A,"Broad understanding of clinical operations related to clinical development functions.
Participate in clinical operations initiatives and meetings as assigned…","https://www.indeed.com/jobs?q=Operations+Manager$100,000&l=Los+Angeles&jt=fulltime&explvl=mid_level&start=20/rc/clk?jk=0b838f7f4ab352c9&fccid=05aa1a43d8806cef&vjs=3",True
126,Manager Clinical Operations - Telemetry,Advocate Aurora Health,Los Angeles,N/A,"Responsibilities include 24 hour accountability for the day to day operations of the clinical telemetry unit.
5 years of clinical experience.","https://www.indeed.com/jobs?q=Operations+Manager$100,000&l=Los+Angeles&jt=fulltime&explvl=mid_level&start=90/company/Advocate-Aurora-Health/jobs/Manager-Clinical-Operation-a1672b10aa7d1876?fccid=e676e89a7895f46c&vjs=3",True
127,Commercial Agency Operations Manager,"Godfrey Personnel, Inc.",Los Angeles,"$100,000 - $150,000 a year","Manage team's day-to-day operations.
Mid-sized Independent Insurance Agency is in search of a Commercial Lines Agency Operations Manager for their Wilmington,…","https://www.indeed.com/jobs?q=Operations+Manager$100,000&l=Los+Angeles&jt=fulltime&explvl=mid_level&start=90/pagead/clk?mo=r&ad=-6NYlbfkN0DXCMSNFMRlaZ2SRE_AJ1fOhJ84JAgwYIW-sdq9K5H5cid3NCh6DaHXF0T4qZnC3LSHRi73UIH4cLfL1MuBjp4VdKhP_8OMI3KQt0gBN9zZ8Oi57-QOQO0EuvfXGLuxJNHiwtSVnXcs0a91Yfzy5Q3L1_MeceDpOcgMiZcQWHX67gjuy2wy6-e5rCRkE7yeGwec_ulLo4bYGJG0g59C18PVKFhTu5yRHXoQKdLK8emt0LF-UP32udWpvLco7_qZIhhYciEVVqJ_SDmys9Hw2GmotZX6e9REhGzyJDVeFnkeU9GYbx3KcjhAwG5CKtbV4y7Pocu9dBYY5agKM80sQKKA4DZ7KXGHsJ8DgOp_LKLVlx12mO7LnljyAafbGMgL11l6mhy81yxf-Ev1u5Te6567wUMKicz9KCpQ9qT09LoATC7voDLQYImGQuca-PBhXjcqvf85Ha9Xsc5thBWqWZA_gD6Nm1S4V9-ijxLgo6kUAQrLWEAJM7dl&p=1&fvj=1&vjs=3",True
128,Sales Operations Manager,Ecosense Lighting,Los Angeles,N/A,"We are looking for a Sales Operations Manager to join our team.
The Sales Operations Manager will be responsible for compiling and analyzing sales and market…","https://www.indeed.com/jobs?q=Operations+Manager$100,000&l=Los+Angeles&jt=fulltime&explvl=mid_level&start=90/rc/clk?jk=9243a8b0fc5a3496&fccid=a93d6b21d8d01af9&vjs=3",True
130,Clinical Operations Manager,Arrowhead Pharmaceuticals,Los Angeles,N/A,"Broad understanding of clinical operations related to clinical development functions.
Participate in clinical operations initiatives and meetings as assigned…","https://www.indeed.com/jobs?q=Operations+Manager$100,000&l=Los+Angeles&jt=fulltime&explvl=mid_level&start=90/rc/clk?jk=0b838f7f4ab352c9&fccid=05aa1a43d8806cef&vjs=3",True
131,Marketing Operations & Automation Manager,Paper,Los Angeles,N/A,"5 years experience in marketing automation and/or operations.
Responsible for driving operational excellence and directly contributing to overall growth by…","https://www.indeed.com/jobs?q=Operations+Manager$100,000&l=Los+Angeles&jt=fulltime&explvl=mid_level&start=90/rc/clk?jk=15b97078402a022e&fccid=8ec730d70d62d0f1&vjs=3",True
132,Laboratory Operations Manager,Food Safety Net Services,Los Angeles,N/A,"Participate in generating and interpreting operations budgets and various operational reports, as needed.
Standard of operations for all testing performed by…","https://www.indeed.com/jobs?q=Operations+Manager$100,000&l=Los+Angeles&jt=fulltime&explvl=mid_level&start=90/rc/clk?jk=1f39efcbd8c454e6&fccid=3d16940c93e9ce64&vjs=3",True
